nid,title,url,dept_nm_lvl_1,dept_nm_lvl_2,dept_nm_lvl_3,dept_nm_lvl_4,dept_nm_lvl_5,exec_yr,exec_month,expense_budget,expense_execution,category,dept_nm_full,exec_dt,exec_loc,exec_purpose,target_nm,payment_method,exec_amount
21085388,"2020년 8월 사업소 서울역사박물관 경영지원부 도시유적전시과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21085388,사업소,서울역사박물관,경영지원부,도시유적전시과,,2020,8,,,,"경영지원부 도시유적전시과","2020-08-31 12:02","능라도(종로구 새문안로3길 15)","공평도시유적전시관 실내공기질 측정 업무추진 직원 격려 간담회","총4명(도시유적전시과장, 직원 등)",제로페이,52000
21085388,"2020년 8월 사업소 서울역사박물관 경영지원부 도시유적전시과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21085388,사업소,서울역사박물관,경영지원부,도시유적전시과,,2020,8,,,,"경영지원부 도시유적전시과","2020-08-27 12:06","경희궁 참치집(종로구 새문안로3길 15)","청진동ㆍ공평동 일대 가옥 모형 제작 용역 업무추진 직원 격려 간담회","총5명(경영지원부장, 도시유적전시과장, 직원 등)",제로페이,66000
21085388,"2020년 8월 사업소 서울역사박물관 경영지원부 도시유적전시과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21085388,사업소,서울역사박물관,경영지원부,도시유적전시과,,2020,8,,,,"경영지원부 도시유적전시과","2020-08-25 13:09","경복궁(종로구 종로 65)","돈의문역사관 교육프로그램 운영 업무추직 직원 격려 간담회","총8명(도시유적전시과장, 직원, 공무직 등)",제로페이,94000
21085388,"2020년 8월 사업소 서울역사박물관 경영지원부 도시유적전시과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21085388,사업소,서울역사박물관,경영지원부,도시유적전시과,,2020,8,,,,"경영지원부 도시유적전시과","2020-08-24 12:13","능라도(종로구 새문안로3길 15)","정기 재물조사 업무추진 직원 격려 간담회","총6명(도시유적전시과장, 직원 등)",제로페이,67000
21085388,"2020년 8월 사업소 서울역사박물관 경영지원부 도시유적전시과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21085388,사업소,서울역사박물관,경영지원부,도시유적전시과,,2020,8,,,,"경영지원부 도시유적전시과","2020-08-06 13:04","종로참치(종로구 청계천로 97)","분관 복무관리 지문인식기 설치 업무추진 직원 격려 간담회","총6명(도시유적전시과장, 직원 등)",제로페이,63000
21085515,"2020년 8월 서울시본청 기후환경본부 환경시민협력과 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21085515,서울시본청,기후환경본부,환경시민협력과,,,2020,8,,,,"기후환경본부 에너지시민협력과","2020-08-20 12:51","㈜바닷가작은부엌덕수궁점 (중구 덕수궁길7)","제17회 에너지의 날 행사 관련 간담회비 지급","과장님외 2명",제로페이,37000
21085515,"2020년 8월 서울시본청 기후환경본부 환경시민협력과 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21085515,서울시본청,기후환경본부,환경시민협력과,,,2020,8,,,,"기후환경본부 에너지시민협력과","2020-08-11 12:40","반포식스 덕수궁점 (중구 서소문로)","환경교육 포털 구축 관련 간담회비 지급","과장님, 환경교육팀장외 4명",제로페이,63500
21085515,"2020년 8월 서울시본청 기후환경본부 환경시민협력과 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21085515,서울시본청,기후환경본부,환경시민협력과,,,2020,8,,,,"기후환경본부 에너지시민협력과","2020-08-10 13:07","복성각(시청점) (중구 덕수궁길)","제17회 에너지의 날 행사 관련 간담회비 지급","과장님, 에너지지원팀장, 시민참여기획팀장외 5명",제로페이,75000
21085515,"2020년 8월 서울시본청 기후환경본부 환경시민협력과 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21085515,서울시본청,기후환경본부,환경시민협력과,,,2020,8,,,,"기후환경본부 에너지시민협력과","2020-08-07 19:49","㈜부자되세요창고43 무교점 (중구 무교로)","부서 현안업무(제17회 서울환경영화제 개최) 추진 직원 격려 간담회비 지급","시민참여기획팀장외 7명",제로페이,148000
21085515,"2020년 8월 서울시본청 기후환경본부 환경시민협력과 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21085515,서울시본청,기후환경본부,환경시민협력과,,,2020,8,,,,"기후환경본부 에너지시민협력과","2020-08-07 13:10","서라벌 (중구 서소문로)","서울에너지드림센터 운영 관련 간담회비 지급","과장님외 2명",제로페이,30000
21085514,"2020년 8월 사업소 은평병원 약제과 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21085514,사업소,은평병원,약제과,,,2020,8,,,,"은평병원 약제과","2020-08-11 14:26","신비로마트(응암로22길 22-1)","부서운영 다과류 구입 비용","약제과장 등 13명",카드,72910
21085511,"2020년 8월 서울시본청 기획조정실 재정기획관 재정균형발전담당관 업무추진비 - 시책추진",http://opengov.seoul.go.kr/public/21085511,서울시본청,기획조정실,재정기획관,재정균형발전담당관,,2020,8,,,,"기획조정실 재정균형발전담당관","2020-08-26 19:49","원할머니 보쌈족발 서울시청점","공사 추진 이전 TF 안건 사전 논의를 위한 간담회 실시","균형발전팀장 등 4명",제로페이,48000
21085511,"2020년 8월 서울시본청 기획조정실 재정기획관 재정균형발전담당관 업무추진비 - 시책추진",http://opengov.seoul.go.kr/public/21085511,서울시본청,기획조정실,재정기획관,재정균형발전담당관,,2020,8,,,,"기획조정실 재정균형발전담당관","2020-08-13 12:37",오양회참치,"2단계 재정분권 3차 TF 사전 논의를 위한 간담회 실시","재정균형발전담당관 등 4명",제로페이,75000
21085511,"2020년 8월 서울시본청 기획조정실 재정기획관 재정균형발전담당관 업무추진비 - 시책추진",http://opengov.seoul.go.kr/public/21085511,서울시본청,기획조정실,재정기획관,재정균형발전담당관,,2020,8,,,,"기획조정실 재정균형발전담당관","2020-08-20 12:26",남산복집,"2020년 제6차 재정계획심의위원회 개최 준비를 위한 간담회 실시","재정균형발전담당관 등 4명",제로페이,81000
21085511,"2020년 8월 서울시본청 기획조정실 재정기획관 재정균형발전담당관 업무추진비 - 시책추진",http://opengov.seoul.go.kr/public/21085511,서울시본청,기획조정실,재정기획관,재정균형발전담당관,,2020,8,,,,"기획조정실 재정균형발전담당관","2020-08-25 12:20","(주)부자되세요 창고43 무교점","2020년 정기(9월) 투자심사 안건 사전논의를 위한 간담회 실시","재정균형발전담당관 등 7명",제로페이,93000
21085200,"2020년 8월 사업소 서울역사박물관 학예연구부 청계천박물관 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21085200,사업소,서울역사박물관,학예연구부,청계천박물관,,2020,8,,,,"서울역사박물관 청계천박물관","2020-08-26 17:26","청계벽산슈퍼 (성동구 하왕십리동 258)","부서운영을 위한 물품 구입(커피, 다과류 등)","청계천박물관장 등 32명 (직원7, 뉴딜일자리5, 공무촉탁직 20)",카드,84350
21085200,"2020년 8월 사업소 서울역사박물관 학예연구부 청계천박물관 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21085200,사업소,서울역사박물관,학예연구부,청계천박물관,,2020,8,,,,"서울역사박물관 청계천박물관","2020-08-20 16:19","이마트왕십리점 (성동구 왕십리광장로 17)","부서운영을 위한 물품 구입(다과류)","청계천박물관장 등 32명 (직원7, 뉴딜일자리5, 공무촉탁직 20)",카드,154430
